epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1554.98,0.82312,0.65923,1.07902,0.916,0.7182,0.8257,0.52045,1.27588,0.81998,1.47031,0.000660045,0.000660045,0.000660045
43,1591.91,0.81289,0.64302,1.07613,0.8827,0.72483,0.81631,0.49805,1.25071,0.77447,1.40577,0.000649046,0.000649046,0.000649046
44,1628.97,0.82142,0.65714,1.08147,0.8464,0.75088,0.81627,0.48904,1.30365,0.83652,1.50447,0.000638047,0.000638047,0.000638047
45,1665.89,0.80531,0.64897,1.07443,0.85161,0.72707,0.81354,0.49983,1.3186,0.80627,1.49833,0.000627048,0.000627048,0.000627048
46,1700.84,0.80611,0.64568,1.07418,0.91505,0.71886,0.81985,0.51263,1.26902,0.75287,1.4775,0.000616049,0.000616049,0.000616049
47,1736.77,0.78662,0.62408,1.05972,0.88974,0.74567,0.8232,0.50152,1.2648,0.82637,1.42524,0.000605051,0.000605051,0.000605051
48,1771.35,0.78855,0.61992,1.06049,0.90748,0.73624,0.8259,0.52247,1.19295,0.79565,1.3696,0.000594052,0.000594052,0.000594052
49,1806.88,0.78179,0.6165,1.06088,0.92214,0.72572,0.82682,0.52102,1.20947,0.72467,1.37843,0.000583053,0.000583053,0.000583053
50,1841.65,0.7931,0.63685,1.06053,0.88853,0.77371,0.83676,0.54146,1.18539,0.74721,1.36089,0.000572054,0.000572054,0.000572054
51,1878.3,0.77239,0.5999,1.05189,0.89438,0.73432,0.82211,0.53283,1.22583,0.74384,1.44015,0.000561055,0.000561055,0.000561055
52,1913.8,0.76266,0.58606,1.04688,0.886,0.7717,0.84206,0.52595,1.24503,0.72763,1.427,0.000550056,0.000550056,0.000550056
53,1949.19,0.76003,0.59057,1.05036,0.92387,0.72186,0.83058,0.53042,1.1737,0.74131,1.39824,0.000539057,0.000539057,0.000539057
54,1984.16,0.75895,0.58667,1.06006,0.8863,0.74072,0.82887,0.53131,1.26159,0.76596,1.43967,0.000528058,0.000528058,0.000528058
55,2018.73,0.74762,0.58515,1.04612,0.89838,0.75603,0.84026,0.54396,1.23353,0.71838,1.47102,0.000517059,0.000517059,0.000517059
56,2054.33,0.73681,0.56664,1.0344,0.91992,0.75949,0.8446,0.53658,1.24578,0.71606,1.45101,0.00050606,0.00050606,0.00050606
57,2089.65,0.7407,0.5772,1.0426,0.91733,0.74763,0.85107,0.55347,1.14474,0.73348,1.33832,0.000495062,0.000495062,0.000495062
58,2124.57,0.73101,0.56988,1.03465,0.91584,0.7634,0.84996,0.54951,1.19725,0.72719,1.38174,0.000484063,0.000484063,0.000484063
59,2159.37,0.72,0.56614,1.02885,0.87041,0.78056,0.85341,0.55641,1.17474,0.67601,1.3859,0.000473064,0.000473064,0.000473064
60,2194.21,0.72566,0.56667,1.03578,0.90061,0.76747,0.84062,0.54244,1.15572,0.69599,1.37298,0.000462065,0.000462065,0.000462065
61,2229.01,0.72023,0.54996,1.02316,0.88526,0.77341,0.85116,0.55414,1.17303,0.68429,1.44327,0.000451066,0.000451066,0.000451066
62,2265.04,0.71947,0.54388,1.02096,0.93112,0.75365,0.84772,0.55319,1.17698,0.72542,1.41269,0.000440067,0.000440067,0.000440067
63,2300.4,0.70603,0.5397,1.02395,0.90004,0.75538,0.84591,0.53519,1.19056,0.69426,1.37581,0.000429068,0.000429068,0.000429068
64,2334.94,0.69619,0.53213,1.0161,0.92252,0.75023,0.85009,0.55571,1.08275,0.67054,1.29379,0.000418069,0.000418069,0.000418069
65,2369.99,0.69583,0.53422,1.0183,0.91388,0.75419,0.84761,0.55392,1.12139,0.64928,1.35722,0.00040707,0.00040707,0.00040707
66,2405.6,0.7001,0.53394,1.01311,0.9018,0.76236,0.84234,0.54408,1.1309,0.76331,1.37391,0.000396071,0.000396071,0.000396071
67,2440.58,0.69274,0.52983,1.01803,0.90682,0.76927,0.85503,0.55295,1.14172,0.67099,1.40844,0.000385073,0.000385073,0.000385073
68,2476.37,0.67739,0.51729,1.0036,0.90981,0.74219,0.84767,0.54982,1.13393,0.69069,1.35944,0.000374074,0.000374074,0.000374074
69,2511.47,0.68778,0.52463,1.01699,0.87153,0.77007,0.8433,0.54714,1.11076,0.66346,1.33906,0.000363075,0.000363075,0.000363075
70,2546.13,0.68359,0.5155,1.00637,0.89821,0.78542,0.85859,0.56343,1.10336,0.66298,1.32393,0.000352076,0.000352076,0.000352076
71,2580.88,0.6719,0.51824,1.00296,0.92786,0.76605,0.85457,0.54957,1.15254,0.6628,1.3659,0.000341077,0.000341077,0.000341077
72,2616.79,0.6587,0.50308,0.99881,0.94401,0.75892,0.85366,0.54752,1.15754,0.66467,1.35963,0.000330078,0.000330078,0.000330078
73,2652.11,0.66896,0.51763,1.00289,0.90859,0.76803,0.85827,0.56632,1.08541,0.64907,1.32314,0.000319079,0.000319079,0.000319079
74,2686.8,0.66109,0.56095,0.99828,0.93127,0.75822,0.84357,0.56474,1.08786,0.63923,1.30458,0.00030808,0.00030808,0.00030808
75,2721.56,0.65161,0.49385,0.99562,0.89113,0.78403,0.84959,0.56559,1.09589,0.67122,1.32583,0.000297081,0.000297081,0.000297081
76,2756.81,0.65094,0.4866,0.98908,0.90967,0.7893,0.86701,0.56548,1.16172,0.66936,1.38886,0.000286083,0.000286083,0.000286083
77,2791.29,0.64009,0.48382,0.9888,0.92226,0.77801,0.86072,0.5698,1.12272,0.61419,1.37254,0.000275084,0.000275084,0.000275084
78,2827.09,0.64072,0.48226,0.99084,0.91949,0.77107,0.86821,0.59398,1.08616,0.65872,1.31869,0.000264085,0.000264085,0.000264085
79,2863.11,0.63497,0.47611,0.97604,0.91899,0.77681,0.86588,0.57565,1.09457,0.61697,1.34956,0.000253086,0.000253086,0.000253086
80,2897.97,0.63775,0.47651,0.98552,0.89106,0.78676,0.87169,0.58876,1.03575,0.6199,1.29548,0.000242087,0.000242087,0.000242087
81,2933.37,0.62574,0.46548,0.97387,0.91156,0.78007,0.87577,0.59429,1.0574,0.62201,1.31317,0.000231088,0.000231088,0.000231088
82,2968.94,0.64287,0.48308,0.98467,0.93007,0.77671,0.86521,0.58339,1.06782,0.60201,1.25841,0.000220089,0.000220089,0.000220089
83,3004.86,0.61756,0.45834,0.97769,0.91081,0.79663,0.87109,0.59357,1.06978,0.60012,1.28197,0.00020909,0.00020909,0.00020909
84,3040.27,0.61759,0.46147,0.9764,0.94049,0.78017,0.866,0.58476,1.04689,0.59546,1.28664,0.000198091,0.000198091,0.000198091
85,3074.89,0.62154,0.45986,0.97601,0.94079,0.77678,0.87561,0.5961,1.02766,0.58019,1.29778,0.000187092,0.000187092,0.000187092
86,3110.59,0.61552,0.45861,0.96651,0.9206,0.79485,0.86666,0.59191,0.99795,0.57956,1.27554,0.000176094,0.000176094,0.000176094
87,3146.37,0.60906,0.45122,0.971,0.90829,0.78616,0.86776,0.59051,1.03463,0.59893,1.28716,0.000165095,0.000165095,0.000165095
88,3181.96,0.60314,0.45621,0.96894,0.898,0.77692,0.86112,0.59584,1.00898,0.59914,1.28084,0.000154096,0.000154096,0.000154096
89,3218.2,0.59613,0.56332,0.95578,0.90259,0.79268,0.86645,0.58388,1.02505,0.60741,1.27939,0.000143097,0.000143097,0.000143097
90,3252.9,0.6068,0.46226,0.96814,0.93658,0.76074,0.86183,0.59679,0.98426,0.57822,1.25443,0.000132098,0.000132098,0.000132098
91,3310.36,0.5969,0.39251,0.96141,0.90238,0.77671,0.85338,0.57101,1.03775,0.60054,1.30793,0.000121099,0.000121099,0.000121099
92,3345.02,0.5692,0.38297,0.94801,0.93151,0.76783,0.85418,0.57939,1.01632,0.59333,1.29667,0.0001101,0.0001101,0.0001101
93,3379.33,0.56518,0.3683,0.94154,0.92224,0.76426,0.85973,0.58916,1.00034,0.58557,1.27844,9.91012e-05,9.91012e-05,9.91012e-05
94,3413.33,0.55457,0.36551,0.93845,0.93048,0.77074,0.87303,0.59603,1.01376,0.58466,1.29588,8.81023e-05,8.81023e-05,8.81023e-05
95,3447.49,0.55289,0.36171,0.93849,0.88172,0.81304,0.86762,0.59367,0.98968,0.57536,1.27901,7.71034e-05,7.71034e-05,7.71034e-05
96,3481.68,0.55336,0.35552,0.94551,0.91735,0.79366,0.8686,0.5965,0.9967,0.58572,1.25972,6.61045e-05,6.61045e-05,6.61045e-05
97,3515.95,0.54615,0.35402,0.93444,0.90722,0.78436,0.8674,0.60085,1.00477,0.58338,1.258,5.51056e-05,5.51056e-05,5.51056e-05
98,3550.3,0.53772,0.34842,0.9333,0.94044,0.76038,0.86602,0.59758,1.01746,0.58209,1.26899,4.41067e-05,4.41067e-05,4.41067e-05
99,3584.55,0.53151,0.3513,0.92789,0.90861,0.78938,0.86756,0.60185,1.00754,0.57582,1.2669,3.31078e-05,3.31078e-05,3.31078e-05
100,3618.66,0.53537,0.34918,0.92877,0.90869,0.79299,0.86867,0.60048,1.01858,0.58284,1.28175,2.21089e-05,2.21089e-05,2.21089e-05
